feeder,one,one,one,one,one,one,one,one,one
season,summer,summer,summer,summer,summer,summer,summer,summer,summer
strategy,no_control,single_bucket,single_bucket,single_bucket,single_bucket,smooth,smooth,smooth,smooth
control,0,6,25,50,75,6,25,50,75
shift,,,,,,,,,
-12.9666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
-12.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667
-12.933333333299998,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
-12.916666666700001,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
-12.4666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333
-12.45,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333
-11.5,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2
-11.3666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.2,0.2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.26666666666666666
-11.35,0.2,0.2,0.2,0.26666666666666666,0.26666666666666666,0.2,0.2,0.2,0.3333333333333333
-11.333333333299999,0.2,0.2,0.2,0.26666666666666666,0.26666666666666666,0.2,0.2,0.2,0.3333333333333333
-11.316666666700002,0.2,0.2,0.2,0.26666666666666666,0.26666666666666666,0.2,0.2,0.2,0.3333333333333333
-11.3,0.2,0.2,0.2,0.26666666666666666,0.26666666666666666,0.2,0.2,0.2,0.3333333333333333
-11.25,0.2,0.2,0.2,0.26666666666666666,0.26666666666666666,0.2,0.2,0.26666666666666666,0.4
-11.2333333333,0.2,0.2,0.2,0.26666666666666666,0.26666666666666666,0.2,0.2,0.26666666666666666,0.4
-11.2166666667,0.2,0.2,0.2,0.26666666666666666,0.26666666666666666,0.2,0.2,0.26666666666666666,0.4
-11.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.4
-11.183333333299998,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.4
-11.166666666700001,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.4,0.4,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.4
-11.15,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.4,0.4,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.4
-11.1333333333,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.4,0.4,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.4
-11.1166666667,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.4,0.4,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.4
-11.1,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.4,0.4,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.4
-11.0166666667,0.3333333333333333,0.3333333333333333,0.4,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.4,0.4,0.5333333333333333
-11.0,0.3333333333333333,0.3333333333333333,0.4,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.4,0.4,0.5333333333333333
-10.933333333299998,0.3333333333333333,0.3333333333333333,0.4,0.5333333333333333,0.6,0.3333333333333333,0.4,0.4,0.5333333333333333
-10.916666666700001,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.6666666666666666,0.7333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.6
-10.9,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.6666666666666666,0.7333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.6
-10.8666666667,0.5333333333333333,0.5333333333333333,0.6,0.7333333333333333,0.8,0.5333333333333333,0.6,0.6,0.6666666666666666
-10.85,0.6,0.6,0.6666666666666666,0.8,0.8666666666666667,0.6,0.6666666666666666,0.6666666666666666,0.7333333333333333
-10.833333333299999,0.6,0.6,0.6666666666666666,0.8,0.8666666666666667,0.6,0.6666666666666666,0.6666666666666666,0.7333333333333333
-10.816666666700002,0.6,0.6,0.6666666666666666,0.8,0.8666666666666667,0.6,0.6666666666666666,0.6666666666666666,0.7333333333333333
-10.8,0.6,0.6,0.6666666666666666,0.8,0.8666666666666667,0.6,0.6666666666666666,0.6666666666666666,0.7333333333333333
-10.7833333333,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.8,0.8666666666666667,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.7333333333333333
-10.7666666667,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.8,0.8666666666666667,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.7333333333333333
-10.75,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.8,0.8666666666666667,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.7333333333333333
-10.733333333300001,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.8,0.8666666666666667,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.7333333333333333
